Date,SPY,,,TA35.TA,,,IEI,,,LQD,,,,,,
6/10/2022,0.00332966,0.47,0.1,0.061804841,0.21,0.06,-0.001895939,0.19,0.75,-0.020508384,0.11,0.2,0.011927806,988.2916065,981.2831828,-0.001482374
6/11/2022,0.008017082,0.47,0.1,-0.005819132,0.21,0.06,-0.002621216,0.19,0.75,-0.011927668,0.11,0.2,0.000735937,989.0189265,977.4572726,-0.003898885
6/12/2022,-0.012356076,0.47,0.1,0.079221645,0.21,0.06,0.002283305,0.19,0.75,0.024388741,0.11,0.2,0.013945779,1002.811566,987.3373303,0.010107918
6/13/2022,0.005771924,0.47,0.1,-0.015088166,0.21,0.06,-0.002445022,0.19,0.75,0.002244865,0.11,0.2,-0.000673329,1002.136343,985.6461295,-0.001712891
6/14/2022,0.009412913,0.47,0.1,-0.012237126,0.21,0.06,0.000820774,0.19,0.75,0.015674633,0.11,0.2,0.003734429,1005.878751,989.546894,0.003957571
6/15/2022,-0.021514708,0.47,0.1,-0.004449841,0.21,0.06,-0.000798272,0.19,0.75,-0.007858589,0.11,0.2,-0.012062496,993.7453424,985.0059792,-0.004588883
6/16/2022,0.019549679,0.47,0.1,0.023489264,0.21,0.06,0.001448437,0.19,0.75,-0.019513971,0.11,0.2,0.012249761,1005.918485,985.545622,0.000547857
6/17/2022,0.016626464,0.47,0.1,-0.001091956,0.21,0.06,-0.000234973,0.19,0.75,-0.016495501,0.11,0.2,0.005725977,1011.678351,983.6945691,-0.001878201
6/18/2022,0.013999444,0.47,0.1,-0.029118709,0.21,0.06,-0.00081367,0.19,0.75,0.023573355,0.11,0.2,0.002903281,1014.615538,987.3905458,0.00375724
6/19/2022,-0.002741787,0.47,0.1,-0.018845182,0.21,0.06,0.001263407,0.19,0.75,0.029162329,0.11,0.2,-0.001798225,1012.791032,992.6978996,0.005375131
6/20/2022,0.002587396,0.47,0.1,0.029749615,0.21,0.06,-0.001683125,0.19,0.75,-0.016294172,0.11,0.2,0.005351343,1018.210824,990.2385289,-0.002477461
6/21/2022,-0.006104913,0.47,0.1,0.034133705,0.21,0.06,-0.002029173,0.19,0.75,-0.011873474,0.11,0.2,0.002607144,1020.865446,987.8034895,-0.002459043
6/22/2022,-0.005079016,0.47,0.1,-0.036347981,0.21,0.06,0.001194905,0.19,0.75,0.016941709,0.11,0.2,-0.007929593,1012.770398,989.3797669,0.00159574
6/23/2022,-0.008897678,0.47,0.1,-0.021672599,0.21,0.06,-0.001413338,0.19,0.75,-0.013171139,0.11,0.2,-0.010450514,1002.186426,983.5579051,-0.005884355
6/24/2022,-0.015859264,0.47,0.1,-0.004354585,0.21,0.06,-0.000652715,0.19,0.75,0.008848285,0.11,0.2,-0.007519021,994.6509653,983.0001483,-0.000567081
6/25/2022,-0.005527036,0.47,0.1,0.018360817,0.21,0.06,-0.001345946,0.19,0.75,-0.019304534,0.11,0.2,-0.001121164,993.5357987,978.7521912,-0.004321421
6/26/2022,0.002409497,0.47,0.1,-0.081617665,0.21,0.06,2.03E-05,0.19,0.75,0.013870774,0.11,0.2,-0.0144776,979.1517844,976.9251378,-0.001866717
6/27/2022,0.021689422,0.47,0.1,0.047374156,0.21,0.06,-0.001072579,0.19,0.75,-0.049268391,0.11,0.2,0.014519288,993.3683713,971.4087144,-0.005646721
6/28/2022,0.022155153,0.47,0.1,0.033242405,0.21,0.06,0.001016621,0.19,0.75,0.048697682,0.11,0.2,0.02294373,1016.159947,985.7001396,0.014712062
6/29/2022,-0.062900033,0.47,0.1,0.006695439,0.21,0.06,-0.000109822,0.19,0.75,-0.004373073,0.11,0.2,-0.028658878,987.0379435,978.9527679,-0.006845258
6/30/2022,0.010926217,0.47,0.1,-0.033600434,0.21,0.06,-0.001182716,0.19,0.75,-0.013722198,0.11,0.2,-0.003654927,983.4303919,974.4937545,-0.004554881
